date,mosquito_Indicator,rain(mm),mean_T(℃),min_T(℃),max_T(℃)
27/03/2019,5.5,0,11.6,8.9,16.2
28/03/2019,5.5,0,9.4,5.6,14.6
29/03/2019,5.5,0,9.2,5.5,15.1
30/03/2019,5.5,1.8,5.2,3.5,8.4
31/03/2019,5.5,0,4.4,2.6,8.4
01/04/2019,6.7,0,5.5,0.3,11.3
02/04/2019,1.6,0,6.7,1.3,13
03/04/2019,2.2,0,7.6,1.9,13.6
04/04/2019,2.7,0,9.2,3,15.7
05/04/2019,2.7,0,11.4,7,17.2
06/04/2019,2.2,0.8,9.3,5.9,12.2
07/04/2019,1.6,0,12.6,5.6,20.3
08/04/2019,1.1,0,11.6,7.6,17.2
09/04/2019,2.7,17.4,9.2,4.7,13.9
10/04/2019,3.3,5.6,7.1,4.7,10.2
11/04/2019,8.3,0,9.5,4.3,15.7
12/04/2019,14.5,0,11.4,5.5,18.4
13/04/2019,15.6,0,11.8,6.2,17.9
14/04/2019,13.9,1.7,9.6,6.9,13.6
15/04/2019,13.4,0,11.6,3.9,18.1
16/04/2019,12.8,0,14.9,6.8,22.6
17/04/2019,12.8,0,15.3,9.1,21.8
18/04/2019,12.8,0,12.6,10.4,16.2
19/04/2019,10.6,0,13.8,9.6,19.7
20/04/2019,9.5,1.2,14.3,9.7,19.1
21/04/2019,10,0.3,14.8,12.2,20.2
22/04/2019,11.7,0,19.3,10.7,28.2
23/04/2019,0,0,20.4,15.3,25.5
24/04/2019,0,4.1,19.5,15.8,25.9
25/04/2019,0,11.3,13.2,9.4,17.2
26/04/2019,0,4.9,8.4,6.2,9.9
27/04/2019,0,0,11.6,4.1,18.2
28/04/2019,0,0,12.9,9.9,16.6
29/04/2019,0,0,13,8.3,17.3
30/04/2019,16.2,0,15.5,9,22.5
01/05/2019,2.2,0,16.4,11.2,22.2
02/05/2019,1.1,0,17.1,10.6,25.3
03/05/2019,1.6,0,17.9,10.1,26.1
04/05/2019,6.7,0,19.5,12,27.4
05/05/2019,72.1,0,19.2,13.6,26.5
06/05/2019,107.8,0,14.5,9.8,19.8
07/05/2019,116.2,0,15,8.4,21.9
08/05/2019,107.3,0,15.6,10.1,21.3
09/05/2019,158.1,0,16.6,11.7,22.9
10/05/2019,141.9,0,17.8,10.3,26.8
11/05/2019,126.8,0,20.3,13.2,28.3
12/05/2019,123.5,0,21.6,14.7,28.9
13/05/2019,118.5,0,18.7,15.5,22.8
14/05/2019,128.5,0,19.6,12.9,26.9
15/05/2019,192.8,0,20.7,14.8,28
16/05/2019,400.2,0,23.5,16.7,30
17/05/2019,349.7,0,23.6,17.6,28.3
18/05/2019,487.6,0,22.8,19.1,25.9
19/05/2019,265.6,22,19.4,17.9,21.6
20/05/2019,255.5,8.7,16.4,13,20.2
21/05/2019,294.2,0,17.2,11.7,23.8
22/05/2019,227.5,0,19.5,12.3,26.5
23/05/2019,643.6,0,22.1,15,29.2
24/05/2019,646.5,0,24.2,16.2,33.4
25/05/2019,528.3,0,23.4,18.4,28.6
26/05/2019,279.1,0,24.5,18.6,31.1
27/05/2019,210.1,7.1,17.8,14.3,22.3
28/05/2019,216.8,0,18.1,11.9,24.6
29/05/2019,221.3,0,20.3,13.3,26.5
30/05/2019,364.8,0,19.6,14.6,24.5
31/05/2019,672.1,0,19.1,16.1,23.3
01/06/2019,571.6,0,18.9,14.8,23.7
02/06/2019,595.3,0,21.1,14.1,27.8
03/06/2019,637.6,0,23.1,16,29.5
04/06/2019,585.4,0,22.6,17.6,29
05/06/2019,513.5,0,23,17.8,29.6
06/06/2019,435.5,7.5,21.2,18.6,25.1
07/06/2019,400.2,35.3,20,17,24.7
08/06/2019,366.5,0,21.9,16,27.6
09/06/2019,438.8,2.5,21.6,17.1,26.5
10/06/2019,472.5,9.5,18.4,15.7,21.9
11/06/2019,406.9,0,20.5,15.5,26.1
12/06/2019,341.3,0,21.5,16.1,26.4
13/06/2019,464.1,0,23,16.6,28.8
14/06/2019,448.9,0,23,19.1,28.4
15/06/2019,401.8,2.1,21.9,17.9,27.4
16/06/2019,373.2,0,22,16.1,27.2
17/06/2019,596.3,0,21.7,18.1,26.2
18/06/2019,418.7,13.8,20.8,17,24.8
19/06/2019,457.3,0.2,21.4,18.9,25.4
27/06/2019,850.1,1.4,25.5,21.9,31.2
28/06/2019,993.5,0,24.7,22.3,29
29/06/2019,1000,1.5,23.1,19.6,27.7
30/06/2019,1000,0,23.9,20.9,28.5
01/07/2019,713.5,0,23.9,20.6,28.9
02/07/2019,707.6,0,24.4,20.8,30.1
03/07/2019,716.4,0,24.1,21.2,27.4
04/07/2019,713.5,0,25.4,20,32.8
05/07/2019,713.5,0,27.6,20.2,35
06/07/2019,716.4,0,29.7,24.6,36.1
07/07/2019,778.4,0,26.7,22.7,32.5
08/07/2019,808.2,0,25.1,21.2,31
09/07/2019,808.2,0,25,19.7,30
10/07/2019,779.5,8.5,22.7,19.3,27.3
11/07/2019,731.2,2.9,21.9,19.5,25.9
12/07/2019,713.5,0,23.6,20,28.7
13/07/2019,726.3,0,24.9,22.1,29.7
14/07/2019,691.8,0,25.9,21.2,31.6
15/07/2019,701.7,7.7,23.8,22.1,27.4
16/07/2019,704.6,6.3,24.7,21.4,28.8
17/07/2019,705.6,0.7,25.6,22.3,29.2
18/07/2019,716.4,0,26.9,23.3,32.1
19/07/2019,765.2,0,28.6,22.8,35
20/07/2019,872.2,1.1,28,25.1,31.9
21/07/2019,906.3,6.2,25.1,24.2,27
22/07/2019,903,0.1,26.7,24.2,31
23/07/2019,943.8,0,28.1,24.4,32.9
24/07/2019,1000,1,26.5,25.2,27.2
25/07/2019,1000,9.7,26.3,25.6,27.4
26/07/2019,1000,60,25.1,23.7,25.9
27/07/2019,964.8,0.6,28.4,24.9,33.4
28/07/2019,976.9,25.6,26.1,25,28.2
29/07/2019,990.2,0.5,27.5,25.6,30
30/07/2019,1000,1.2,28.1,26.3,30.8
31/07/2019,994.6,62.3,25.8,24,27.5
01/08/2019,568.7,26.9,26.3,23.5,30.1
02/08/2019,592.3,0,28.4,24.7,33.1
03/08/2019,433.8,3,29.4,25.6,36
04/08/2019,0,8.6,28.3,25,34.4
05/08/2019,0,0,30.5,25.6,35.9
06/08/2019,0,0,31.6,27.9,36.8
07/08/2019,0,8,26.9,23.9,30.3
08/08/2019,0,0,28.9,25.9,32.7
09/08/2019,0,0,29.8,26,34.6
10/08/2019,0,0,31.5,26.6,36.5
11/08/2019,138.6,6.7,30.4,26.3,35.7
12/08/2019,131.3,56.2,26.6,24.8,28.5
13/08/2019,179.4,6.4,29.2,25.1,35.3
14/08/2019,179.4,0,30.4,25.9,35.7
15/08/2019,155.4,16.2,25.9,23.9,28.6
16/08/2019,201.2,0.1,25.9,23,29.5
17/08/2019,231.9,0,25.9,23.4,28.8
18/08/2019,253.8,0,25.6,22.6,30.7
19/08/2019,344.6,0,26.3,21.2,31.3
20/08/2019,252.1,0,28.2,23.2,32.8
21/08/2019,300.9,1.3,27,24.4,30.4
22/08/2019,381.7,0,26.9,23,31.4
23/08/2019,378.3,0,26.2,22.7,30.5
24/08/2019,380,0,24.1,21.5,27.3
25/08/2019,422,0,25,20.2,29.9
26/08/2019,331.2,0,26.4,21.5,32.1
27/08/2019,316.1,20,25.7,22.2,29.3
28/08/2019,363.2,0,26.1,23.6,30.2
29/08/2019,400.2,36.9,23.4,20.1,26.4
30/08/2019,465.8,0.2,22.6,19.5,27
31/08/2019,440.5,0,23.5,18.5,28.9
01/09/2019,623.9,0,23.7,19.2,27.8
02/09/2019,623.9,0,24.4,19.4,29.7
03/09/2019,598.2,0,24.1,22,28
04/09/2019,588.4,22.7,22.8,21.2,25.5
05/09/2019,555.9,36.4,23,21.5,27.6
06/09/2019,557.9,2.4,25.3,21.6,29.1
07/09/2019,574.6,2.8,25.7,22.6,29.5
08/09/2019,588.4,0,24.7,22.9,27.3
09/09/2019,519.4,0,25.1,22.4,28
10/09/2019,585.4,63.2,23.8,22.1,26.5
11/09/2019,615,7.6,24.3,20.4,28.7
12/09/2019,605.1,3.9,21,18.7,22.9
13/09/2019,529.3,0.1,23.3,18.3,29.3
14/09/2019,553.9,0.3,22.4,20.8,24.1
15/09/2019,545.1,0,24.2,19.5,30
16/09/2019,549,0,24.5,20.7,30.5
17/09/2019,551,0,23.5,18,29
18/09/2019,522.4,0,21,16,25.4
19/09/2019,539.1,0,19.5,13.6,26
20/09/2019,592.3,0,19.6,15.8,24.2
21/09/2019,535.2,0,19.6,18.3,22.1
22/09/2019,489.3,0.4,18.6,17.3,19.6
23/09/2019,438.8,0,20,16.9,24.6
24/09/2019,408.6,0,19.8,13.9,26.5
25/09/2019,361.5,0,20.9,14.8,27.4
26/09/2019,374.9,0,22.9,17.7,29
27/09/2019,406.9,0,22.9,19.6,27
28/09/2019,472.5,0,23.7,19.4,29.2
29/09/2019,525.4,0,22.6,17.9,28.6
30/09/2019,559.8,0,22.4,16.4,29.9
01/10/2019,748,0,23.1,17.6,28.2
02/10/2019,798.3,23.1,21.6,20,24.2
03/10/2019,874.4,4.6,22.4,19.8,27.3
04/10/2019,929.5,0,22.4,18,27.8
05/10/2019,930.6,0.6,18.7,14.7,21.9
06/10/2019,738.1,0,18.1,13.2,22.7
07/10/2019,581.5,25.4,14.8,13.3,17.9
08/10/2019,417,0,14.7,10.6,19.8
09/10/2019,191.7,0,13.6,7.7,20.4
10/10/2019,100,0,15.2,10.7,19.8
11/10/2019,91.1,0,18.8,13,26.1
12/10/2019,88.3,0,17.9,13.3,23.3
13/10/2019,87.2,0,17.2,12.1,23.8
14/10/2019,84.9,0,14.4,9.5,19.6
15/10/2019,84.9,0,14.5,8.8,20.4
16/10/2019,84.4,0,14.6,9,20.8
17/10/2019,111.2,0,15.4,11.2,21.6
18/10/2019,112.9,0,17,12,22.7
19/10/2019,110.1,0,17,12.1,23.1
20/10/2019,108.4,0,16.5,12,22.9
21/10/2019,106.7,0,17.1,10.9,24.6
22/10/2019,110.1,0,18.1,13.3,24.4
23/10/2019,120.7,0,17,14.3,20.7
24/10/2019,173.2,0,18.3,15.3,23.8
25/10/2019,178.8,0,16.7,13.1,22
26/10/2019,179.9,0,10,6.6,14.9
27/10/2019,72.1,0,11,4.7,17.4
28/10/2019,39.1,1.7,12.9,7.4,17.7
29/10/2019,38.5,0.1,12.5,8.2,17.6
30/10/2019,36.3,0,11.2,5,17.7
31/10/2019,34,0,14.8,8.4,19.7
01/11/2019,5.5,0,14.9,11.4,20.5
02/11/2019,5.5,0,13.6,8.3,18.7
03/11/2019,5.5,0,14.7,9.4,22.1
04/11/2019,5.5,0,13.8,9.2,20.3
05/11/2019,5.5,0,12.4,8.4,18.4
06/11/2019,5.5,0,11,6.3,16.5
07/11/2019,5.5,0,9.2,5,13.6
08/11/2019,5.5,0,6.8,1.1,13
09/11/2019,5.5,0,9.5,3.5,17.2
10/11/2019,5.5,11.8,10,6.2,15.3
11/11/2019,5.5,1.1,11.2,7.9,15.1
12/11/2019,5.5,0,9.3,4.8,14.5
13/11/2019,5.5,7.5,7.2,3,11.3
14/11/2019,5.5,0,1.3,-2.5,5
15/11/2019,5.5,18.8,5.6,1.4,7.6
16/11/2019,5.5,0,6.8,3.8,12.7
17/11/2019,5.5,21.1,8.3,5.6,10.5
18/11/2019,5.5,14.7,4.6,0.4,12.7
19/11/2019,5.5,0,0.2,-3.5,4
20/11/2019,5.5,0,0.5,-4.6,6.3
21/11/2019,5.5,0,4.2,-2.3,9
22/11/2019,5.5,0,9.7,3,17.3
23/11/2019,5.5,0,12.1,7.7,17.7
24/11/2019,5.5,3.8,9.8,4.6,15.6
25/11/2019,5.5,0,1.9,-1.2,6
26/11/2019,5.5,0,6.6,1.2,13.7
27/11/2019,5.5,0,3.1,0.3,6.8
28/11/2019,5.5,0,3.5,-0.6,10.4
29/11/2019,5.5,0,1.5,-3.4,6.9
30/11/2019,5.5,0,4.1,-1.4,9.3
01/12/2019,5.5,3.3,4.6,2.3,6.2
02/12/2019,5.5,0,-0.1,-3.2,2.8
03/12/2019,5.5,0.6,0.5,-5,4.2
04/12/2019,5.5,0,2,-2,7.2
05/12/2019,5.5,0,-4.4,-8.5,-0.2
06/12/2019,5.5,0,-5.9,-10.6,-1
07/12/2019,5.5,0.1,-2.4,-5.5,1.2
08/12/2019,5.5,0,-0.9,-5.5,4.9
09/12/2019,5.5,0,3.2,-1.3,8
10/12/2019,5.5,1.7,8.1,6,10.8
11/12/2019,5.5,0.2,6.3,0.1,9.8
12/12/2019,5.5,0,-0.7,-3.5,3.4
13/12/2019,5.5,1,2.1,-3.7,5.9
14/12/2019,5.5,0,2.7,-0.1,6.4
15/12/2019,5.5,0,5.3,0.4,11
16/12/2019,5.5,0,7.8,2.1,12.9
17/12/2019,5.5,9.8,7.7,3.2,10.2
18/12/2019,5.5,0,0.8,-1.7,5.2
19/12/2019,5.5,0,-0.8,-4.5,3.1
20/12/2019,5.5,0,-1.1,-3.5,2
21/12/2019,5.5,0.6,-1.2,-5.1,1.5
22/12/2019,5.5,0.3,4.1,0.3,8.4
23/12/2019,5.5,2.9,3.4,0.3,5.2
24/12/2019,5.5,0,0.8,-2.9,6.5
25/12/2019,5.5,0,2,-2.7,6.6
25/12/2019,5.5,0,2,-2.7,6.6
25/12/2019,5.5,0,2,-2.7,6.6
25/12/2019,5.5,0,2,-2.7,6.6
26/12/2019,5.5,0.3,2,-2.4,4.1
27/12/2019,5.5,0,-1.7,-4.6,2.6
28/12/2019,5.5,0,1.1,-3.6,6.1
29/12/2019,5.5,1.4,3.8,1.1,6.2
30/12/2019,5.5,0.4,2.7,-5.7,6.8
31/12/2019,5.5,0,-7.9,-10.9,-4.5
